District,Neighborhood,Areas,weekly_rent_1,weekly_rent_2,weekly_rent_3,weekly_rent_4,sales_1,sales_2,sales_3,sales_4
SE28,"South Eastern	",Thamesmead,213,285,306,346,197,265,333,395
SM1,Sutton,,226,312,339,427,215,316,447,517
SM2,Sutton,,212,292,415,427,206,322,512,721
SM3,Sutton,,184,297,364,508,258,332,455,595
SM4,Sutton,,234,301,375,491,273,333,443,626
SM5,Sutton,,228,282,334,438,242,302,429,621
SM6,Sutton,,201,264,357,542,222,307,477,556
SM7,Sutton,,99,303,392,484,234,353,529,721
SW1,"South Western	",Belgravia,536,900,0,2199,739,1207,2100,3849
SW2,"South Western	",Brixton,309,384,478,651,331,419,504,713
SW3,"South Western	",Brompton,519,870,1576,3234,737,1536,2811,4245
SW4,"South Western	",Clapham,352,426,600,759,459,560,672,1112
SW5,"South Western	",Earl's Court,475,727,1202,1554,775,1117,1673,2622
SW6,"South Western	",Fulham,399,569,803,1101,507,726,1004,1583
SW7,"South Western	",South Kensington,637,771,1593,3414,836,1374,2739,5641
SW8,"South Western	",Nine Elms,485,854,1286,601,668,983,1503,1265
SW9,"South Western	",Brixton,332,414,579,703,413,487,664,726
SW10,"South Western	",West Brompton,474,747,961,1436,676,913,1548,3224
SW11,Battersea,Battersea,346,510,603,887,450,680,881,1373
SW12,Battersea,Balham,358,423,559,897,421,617,765,1287
SW13,Battersea,Barnes,658,837,2694,904,576,668,918,1320
SW14,Battersea,East Sheen,284,372,635,965,376,557,910,1310
SW15,Battersea,Putney,276,476,591,854,420,597,748,1144
SW16,Battersea,Norbury,212,330,419,481,301,377,517,677
SW17,Battersea,Tooting,290,369,469,567,371,473,684,787
SW18,Battersea,Earlsfield,341,459,851,739,411,581,888,1131
SW19,Battersea,Merton,301,422,527,618,349,529,678,895
SW20,Battersea,Raynes Park,290,391,448,670,345,484,734,960
TW1,Twickenham,,300,360,673,817,375,512,852,1321
TW2,Twickenham,,256,339,459,529,323,430,575,783
TW3,Twickenham,,235,310,384,418,240,348,519,547
TW4,Twickenham,,166,284,383,433,308,340,465,505
TW5,Twickenham,,244,300,363,410,233,292,526,559
TW6,Twickenham,,217,274,369,392,220,292,440,588
TW7,Twickenham,,259,308,377,477,329,431,560,735
TW8,Twickenham,,330,456,525,617,352,501,669,788
TW9,Twickenham,,333,448,662,1114,433,579,957,1363
TW10,Twickenham,,335,455,516,981,486,599,782,1185
TW11,Twickenham,,268,343,519,600,324,514,755,829
TW12,Twickenham,,245,340,352,1385,278,495,695,908
TW13,Twickenham,,213,279,335,438,192,283,435,436
TW14,Twickenham,,230,290,359,447,215,290,418,465
TW15,Twickenham,,231,272,346,393,230,304,438,559
TW16,Twickenham,,235,295,317,495,246,302,435,619
TW17,Twickenham,,231,257,346,460,271,311,476,652
TW18,Twickenham,,214,284,324,406,219,375,437,627
TW19,Twickenham,,221,290,346,450,162,296,405,570
TW20,Twickenham,,154,290,338,366,225,291,462,624
UB1,Southall,,250,313,380,370,319,334,440,500
UB2,Southall,,252,312,368,485,213,308,405,585
UB3,Southall,,248,300,373,396,280,321,434,486
UB4,Southall,,180,284,370,408,216,292,442,535
UB5,Southall,,233,292,363,395,229,294,438,475
UB6,Southall,,275,302,382,440,313,325,498,606
UB7,Southall,,194,305,364,382,248,323,436,540
UB8,Southall,,201,300,368,377,280,347,451,658
UB9,Southall,,202,294,328,508,224,334,455,738
UB10,Southall,,207,322,360,458,302,423,452,716
W1,Western,Marylebone,646,988,1537,1954,792,1365,2154,3114
W2,Paddington,Bayswater,491,757,1470,1851,649,1082,1781,3504
W3,Paddington,Acton,305,399,481,636,363,516,721,929
W4,Paddington,Chiswick,376,441,509,892,459,611,808,1137
